X_1,Y_1,X_2,Y_2,U1,D1,L1,R1,S1,U2,D2,L2,R2,S2
1,2,1,2,0.745,0.0,0.04777777777777778,0.04111111111111111,0.1661111111111111,0.0033333333333333335,0.0,0.4088888888888889,0.4061111111111111,0.18166666666666667
2,2,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,2,2,0.0,0.7838888888888889,0.0,0.21611111111111111,0.0,0.28944444444444445,0.0,0.7105555555555556,0.0,0.0
1,0,2,2,0.0,1.0,0.0,0.0,0.0,0.28944444444444445,0.0,0.7105555555555556,0.0,0.0
2,0,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,2,2,0.0,0.0,0.0,1.0,0.0,0.28944444444444445,0.0,0.7105555555555556,0.0,0.0
1,1,2,2,0.0,0.058333333333333334,0.0,0.11777777777777777,0.8238888888888889,0.1438888888888889,0.0,0.13833333333333334,0.0,0.7177777777777777
2,1,2,2,0.0,0.0,1.0,0.0,0.0,0.08277777777777778,0.0,0.9172222222222223,0.0,0.0
0,2,2,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,2,2,0.99,0.0,0.0,0.0,0.01,0.9322222222222222,0.0,0.06777777777777778,0.0,0.0
2,2,2,2,0.3761111111111111,0.0,0.39222222222222225,0.0,0.23166666666666666,0.25333333333333335,0.0,0.24722222222222223,0.0,0.49944444444444447
